,number_colonies,concentrations,density
0,8,49230.574327053255,0.5027824190683475
1,5,44921.246923262166,0.45352629688778695
2,6,46074.31386032989,0.5197839140253181
3,6,37536.85422474565,0.5137987111240483
4,11,93494.36231968508,0.6414004287719941
5,4,36918.504090041024,0.4775728391828972
6,6,55489.09110993508,0.5590996596519325
7,4,30186.49841788935,0.4143526533085741
8,6,46456.585126470905,0.5377073805993583
9,5,43545.71588273631,0.5803515283481457
10,10,78507.82692193569,0.6453606774977919
11,9,55798.51179863781,0.6010113051801859
12,7,55419.00098957663,0.6356816672096022
13,6,50857.69430149193,0.5036265728975543
14,6,55475.06015250223,0.5489833472297749
15,5,46422.46798320123,0.6514101646586006
16,5,45611.07227484246,0.6396199239518735
17,7,49795.17924859963,0.5234734921846368
18,7,27969.900603611048,0.42147551843457653
19,8,64552.61912513238,0.6772659705215198
20,6,54851.03542945287,0.6381980576323378
21,4,27920.75458586423,0.41896758646704335
22,4,37138.57514881514,0.4182266257913067
23,6,39609.03173980228,0.5249681012189138
24,9,64950.08642637294,0.6669398884103408
25,8,57271.03502364119,0.6318533703849629
26,8,68911.57382802393,0.5734722667319745
27,7,55233.243089089745,0.6115894492563985
28,4,35666.504118332174,0.6637967264571019
29,6,55226.513576187994,0.459306805173157
30,11,79470.29833229916,0.6124699744429759
31,10,83100.55632184833,0.635804314810038
32,9,65086.33689801113,0.5429279391503246
33,9,61971.44928669794,0.5163717731966405
34,6,55475.823553201095,0.683642799898664
35,8,64113.59455832264,0.5953356817393265
36,6,41550.37863628605,0.6021345880310742
37,5,41496.006083785156,0.5046094453920817
38,6,55001.865608832915,0.5550582097561909
39,4,36410.6482739448,0.5537953623944617
40,5,44234.55269919793,0.5387883711742343
41,4,27870.40642132679,0.4916680089322981
42,5,35098.66321477832,0.4992958438338882
43,7,62922.84480075585,0.6344171281568324
44,3,27754.905167653684,0.44344720166852025
45,12,79766.78294487388,0.711939715933017
46,4,37101.43518938338,0.5207067314879079
47,5,38035.02212278718,0.5701861568858138
48,6,46429.12849051988,0.4536108814398117
49,6,51348.462451239466,0.6431699376003515
50,9,45083.15950315858,0.4522845956640639
51,3,18573.786838603686,0.324589835008891
52,5,45716.31487132869,0.5302690150943036
53,7,46423.384154962114,0.5391402429106572
54,8,54376.67731811181,0.614016180053988
55,7,50628.98789035412,0.5765502985801544
56,8,50147.49464193409,0.5680174089718997
57,8,55914.842293890324,0.611440580444835
58,10,74825.64852972582,0.6888802753600354
59,5,33353.70466624458,0.46653201760710933
60,9,48585.62143130993,0.5970409063081451
61,7,49620.53873370848,0.617607640132958
62,7,49510.476455312884,0.6148992427771262
63,5,39013.76891607072,0.6220094202203249
64,8,65030.35421465925,0.7487669840390638
65,2,18570.706028622764,0.32979263080393206
66,8,41876.4858301893,0.527318705919681
67,5,27320.423360292458,0.4135330289994545
68,7,64812.86498605608,0.6444733855470525
69,6,37453.66624133022,0.530779905788533
70,12,100655.34494325092,0.7024400248951196
71,6,48317.60821707636,0.5512020000293836
72,3,27835.47078153678,0.43398049860591253
73,9,70039.76019665504,0.6594363928002271
74,4,19259.016925548563,0.3891396900410428
75,8,66497.87010507219,0.573025660297284
76,8,74261.45278850474,0.6152654938873933
77,6,46357.800614619686,0.7097768889377446
78,2,18570.6871843793,0.3477237099876544
79,6,45929.0967964755,0.5889943778740325
80,7,47942.11923864569,0.5444732989158163
81,6,45883.7795079539,0.5281450969929626
82,7,47898.62917170911,0.5006788012594925
83,9,83129.67602671678,0.5561984095174843
84,8,48794.167077695885,0.568610346681593
85,5,39075.05471532822,0.541927303899872
86,14,118661.96487469468,0.7062877761667246
87,3,18814.039456952694,0.3816454987316518
88,9,71394.55450177002,0.5948467830286236
89,8,51863.75769569967,0.6314304476248392
90,10,69840.77570213574,0.5118067449238659
91,5,46363.19052456027,0.49080524650164586
92,7,58976.3665573911,0.6049910083529494
93,8,53203.65307492201,0.4296446944691249
94,5,29888.20568611822,0.5046009869368793
95,8,52126.33354500621,0.5086382076050195
96,8,53660.07304447072,0.4850966350854969
97,7,55713.181747832816,0.5189575229520366
98,6,46432.538757230635,0.4646965328281727
99,10,83043.21216561073,0.5898520652315633
