,number_colonies,concentrations,density
0,2,13387.849922832695,0.2801508030661387
1,3,21250.969721385914,0.3380700750650721
2,6,40251.32873507269,0.533034084099992
3,3,14626.506993397501,0.27488033962947783
4,4,33821.62143898665,0.4208791973428022
5,7,27502.928893830194,0.4243217886102087
6,2,17211.07329871204,0.3639546396756797
7,3,17790.293884377115,0.37408786900824226
8,4,32603.834642471276,0.5127084162484495
9,4,19297.80648069119,0.3461030699708606
10,3,17942.199862289042,0.25662107238389953
11,3,9589.44434999789,0.20277877579255815
12,2,8958.86215720468,0.18944909623898107
13,3,15457.499209050728,0.2672888760852584
14,5,34092.457643242924,0.40487241671764246
15,7,33681.00306800421,0.5189126931394634
16,4,34677.711655922816,0.3849510630247782
17,1,8955.72056455109,0.1893763535242398
18,3,11356.535730272788,0.23329011539891847
19,3,17790.293884377115,0.373385817226437
20,2,11286.978401113765,0.23827383720421552
21,3,19033.9271133253,0.3359444652726906
22,2,10458.797567486414,0.2211657657116938
23,5,36167.9494265956,0.4300557753919651
24,2,17755.718742556157,0.3163098532111902
25,1,8955.72056455109,0.1893712784511183
26,3,12298.390749488415,0.2600239089118544
27,3,18732.289936042973,0.27702878725090596
28,4,35286.56885294613,0.6278533669197134
29,4,29198.419530215942,0.44228754746026117
30,6,27532.73278054601,0.4026833685112425
31,4,30598.923221544734,0.438592894227821
32,3,12301.872420241865,0.23286465510223409
33,5,16223.038906986225,0.32341749311782825
34,3,26867.161693653266,0.3132504299644558
35,1,8955.72056455109,0.18938312028840176
36,3,8976.70442638651,0.18982465164997087
37,2,16166.65591571237,0.32107111764466223
38,6,22114.161466745285,0.36871505826363143
39,3,22603.69669492052,0.38281361139511333
40,4,31981.615402483356,0.49502094057455837
41,7,32572.855116299357,0.530352753800808
42,7,38538.21799835798,0.4850086671513912
43,8,34403.45497566205,0.39496925736658717
44,5,32659.821425517137,0.4508813379459737
45,1,8955.72056455109,0.18937550767871955
46,5,24786.9047931665,0.4153160713561358
47,6,48148.27131819572,0.5219019112080173
48,5,22158.352810359287,0.42376437641236575
49,3,24192.759521764307,0.4413985638184813
50,2,17911.44112910218,0.222035294906508
51,3,20242.698965664855,0.36463977454707996
52,5,34084.720308221586,0.4436705048858655
53,5,31329.176270160126,0.4744914239526363
54,3,18412.23068403944,0.3468660226301236
55,2,8986.479297737953,0.19002680872930997
56,2,17911.44112910218,0.30872261889457203
57,2,17911.44112910218,0.2876965909522648
58,3,17942.199862289042,0.3307086815023599
59,2,13387.849922832695,0.2419989408753846
60,3,26486.570674941067,0.4150606260090211
61,1,8955.72056455109,0.18937381598767905
62,1,8955.72056455109,0.18939919135328648
63,4,26679.739744873004,0.3607480393084222
64,2,16166.65591571237,0.25185473287730603
65,2,17530.850110389976,0.3526389183058114
66,5,26684.467119449593,0.3430783263904563
67,2,17755.718742556157,0.3386486334009212
68,1,8955.72056455109,0.18936704922351708
69,4,32206.484034649537,0.47579148851725644
70,3,16667.445470649633,0.2793573999681468
71,3,11293.601664520806,0.21149605972422675
72,3,11317.737134300629,0.22405686569989902
73,2,8958.86215720468,0.1894533254665823
74,1,8955.72056455109,0.18937719936976005
75,4,29670.376880678778,0.5116231964459722
76,1,8955.72056455109,0.18938650367048276
77,2,16766.270526820634,0.3307941118999049
78,4,18418.85394744648,0.34663595264861635
79,3,25341.400072659522,0.3506165016669001
80,3,20870.37870267371,0.3274817808426165
81,5,35706.17060685804,0.5848260511502539
82,5,29267.976859374965,0.3105098904788545
83,2,17911.44112910218,0.3224050160300922
84,3,25341.400072659522,0.4054458999803701
85,3,16173.27917911941,0.27448279223496164
86,4,22357.931085812164,0.3712449822146911
87,3,11290.119993767355,0.23875596915075648
88,2,17911.44112910218,0.36263596650961416
89,3,17790.293884377115,0.30852469104283414
90,3,19862.107946952652,0.3419229014097985
91,2,9456.510119488354,0.19996549359221566
92,3,16181.01651414075,0.32961669493572066
93,3,20242.698965664855,0.39686141379538037
94,2,9219.599931916979,0.19494201704746697
95,3,22343.570487383782,0.40116084657479734
96,2,17755.718742556157,0.2730051001110896
97,1,8955.72056455109,0.1893797369063208
98,4,29061.51968365546,0.35918322509596473
99,6,41192.963332387495,0.56278500858365
