,number_colonies,concentrations,density
0,4,31299.291051934873,0.3785691585745124
1,2,17211.07329871204,0.2852005008220151
2,6,39220.86809860217,0.4955005349845386
3,1,8955.72056455109,0.18937043260559808
4,3,25721.991091371725,0.4266216425797611
5,2,11286.978401113765,0.23869845165537967
6,4,25631.006570117195,0.37186667867207285
7,4,22720.47862468271,0.3296733665855772
8,3,17914.582721755767,0.3647886433586435
9,3,16772.893790227674,0.24813132089717746
10,1,8955.72056455109,0.18937719936976005
11,4,31661.838590805415,0.5550370636181847
12,5,15963.607151089334,0.30096452378286387
13,3,19414.518132037505,0.3360628836455253
14,4,17607.886896587464,0.2886490130080633
15,2,9219.599931916979,0.19495639642131118
16,4,15896.692491350092,0.2830258319894593
17,2,17911.44112910218,0.3455659580655036
18,3,18175.32049646807,0.21460792539321652
19,4,27514.14847965243,0.43105810233345815
20,6,18091.55524833691,0.32492563568042915
21,5,31473.024638618117,0.40799020330527397
22,6,48148.27131819572,0.5591977777322812
23,6,21088.77344252694,0.34377191971705906
24,1,8955.72056455109,0.18938058275184103
25,4,27764.899856439642,0.41906147531979077
26,3,17925.80172753056,0.27732314149195203
27,2,12295.249156834825,0.25326729489611904
28,4,26308.46371454459,0.3601221136234392
29,2,17755.718742556157,0.2998852248990283
30,2,11286.978401113765,0.23868914735465696
31,3,17942.199862289042,0.34613267456406926
32,3,23406.485856644467,0.3217968531010344
33,2,12295.249156834825,0.2599875375544838
34,5,32646.645668324178,0.4801831184583804
35,5,21610.397488205537,0.3673033420903387
36,4,31299.291051934873,0.5157720687227852
37,1,8955.72056455109,0.18938227444288153
38,2,9219.599931916979,0.19496485487651366
39,3,26867.161693653266,0.3599267233082621
40,2,17911.44112910218,0.31208992991067647
41,2,17911.44112910218,0.35402102988589546
42,1,8955.72056455109,0.189387349516003
43,2,9088.654795060625,0.19219217326114305
44,2,17911.44112910218,0.2730820720534321
45,2,17530.850110389976,0.3706672697243622
46,4,26239.1382354459,0.4750446069228781
47,3,9463.133382895394,0.20010421225753622
48,4,19611.88846443374,0.36206925001104845
49,1,8955.72056455109,0.18936451168695634
50,5,21782.51800951004,0.3729967282871232
51,3,15399.384607166277,0.2908025357026129
52,2,16766.270526820634,0.31927369591413673
53,6,40111.758649274,0.5275978349413626
54,2,17911.44112910218,0.34654121795034865
55,4,30206.690285937002,0.4262012573561982
56,3,10591.73179799595,0.22048739760445546
57,3,15348.503454879754,0.2636314400557091
58,4,29143.158805462477,0.38056619984781626
59,4,25728.614354778765,0.37634373901074175
60,3,18882.894650374983,0.38897897939219583
61,2,16766.270526820634,0.24882660591482075
62,3,26486.570674941067,0.3745200960690886
63,3,17888.65297306569,0.3515959907793465
64,3,21250.969721385914,0.26945424061709145
65,4,28370.23869658859,0.4766542509479087
66,5,34400.84202465173,0.4620870993982098
67,4,14546.261890571734,0.30699793987878776
68,2,16766.270526820634,0.2934711783189931
69,3,23967.890889598126,0.39962309941898777
70,2,8970.08116297947,0.189390732898084
71,4,16931.324838015524,0.3216251464604242
72,1,8955.72056455109,0.18937719936976005
73,4,24304.224019430843,0.4443784775863125
74,5,43252.841201761694,0.507794899621333
75,3,25721.991091371725,0.40584175568384584
76,5,27779.260454868025,0.4212860490380412
77,3,11787.76795605103,0.24925967882118735
78,5,35890.79339847134,0.462416133305586
79,4,23670.36522401036,0.30730498180263754
80,4,18308.254726977604,0.36373725737697615
81,2,17911.44112910218,0.3672517455136036
82,3,9250.358665103842,0.19560685162638136
83,3,23648.11407792019,0.3838184758731671
84,6,27687.37305728042,0.43583628367733507
85,3,25341.400072659522,0.43266943804952923
86,2,14450.76529209338,0.27343394378985497
87,3,26486.570674941067,0.3664245085948018
88,2,10458.797567486414,0.22117253247585578
89,2,17211.07329871204,0.3260100096373862
90,2,17911.44112910218,0.3155443630153664
91,3,18044.375359611713,0.2666553377905932
92,2,17755.718742556157,0.2994073221800886
93,3,25721.991091371725,0.3722591509934676
94,2,17911.44112910218,0.32223415523500226
95,4,23751.553025035708,0.362218118822612
96,6,36039.42687074049,0.5577336191367331
97,5,30032.97320492826,0.49649609516186965
98,4,32932.926442533004,0.48479213069820787
99,1,8955.72056455109,0.18939157874360424
