,number_colonies,concentrations,density
0,7,50923.59844005167,0.42542104944973563
1,5,37147.21021137044,0.4128738446700289
2,7,55715.94911184671,0.5751754951067788
3,7,61816.11152085496,0.5511529409906227
4,6,38658.76216446181,0.37273231697890746
5,5,45836.10349163522,0.5287511622265437
6,7,56336.25937633829,0.48537187321919883
7,3,27143.064276770172,0.2728386377141184
8,7,60135.22804321483,0.6368829708526916
9,5,44466.51559168655,0.5324268685193303
10,6,47922.80772648786,0.42846717600489176
11,8,69445.28272889134,0.5054485918172221
12,3,27856.06820956544,0.28658599578559363
13,7,57842.86126273749,0.48815165993693954
14,5,38576.328390034585,0.48472821861211146
15,3,25007.71113314416,0.33537977880478703
16,5,33712.52728440816,0.3153366233570072
17,3,27855.82719033669,0.3013375416587064
18,4,37138.53429426437,0.3967245559916179
19,8,62919.55791015414,0.5213239618823563
20,6,49735.18866068387,0.47934295702144264
21,3,26313.267637964887,0.30418824406486467
22,4,36385.538740043325,0.37489118541714506
23,8,53579.93509463384,0.5394020490174976
24,5,25235.3418713901,0.3161729954074277
25,5,41556.995279445815,0.3553893711023235
26,8,74206.43216525819,0.5488695640918048
27,6,46107.316152944215,0.44917726372847616
28,6,46360.65541537682,0.4046070242286232
29,6,55711.82750434131,0.47076703079311777
30,8,59423.31854691459,0.4629137949772922
31,2,9350.097527277527,0.12653578312081717
32,4,29358.592798684156,0.22256320401401825
33,2,18570.67035393601,0.2513344025484842
34,3,27855.967451411932,0.3147259905590303
35,6,38619.58070395411,0.32889938410214364
36,7,50162.30911121992,0.49370040654976177
37,7,56203.96231789247,0.4289587137536179
38,4,36417.42039805785,0.44413250571043805
39,4,36904.72078436811,0.3993392336638063
40,5,46405.914225368455,0.4523484400853457
41,5,46202.31863029551,0.4253983131221514
42,4,25901.34357802326,0.3132481292660542
43,6,42732.9670058325,0.4314884008679319
44,4,35036.36758597347,0.354033311564263
45,6,52863.76926131863,0.523856355702335
46,4,27859.9151060245,0.3473450418665636
47,5,30250.792340612265,0.3838834029767148
48,5,34612.37944673251,0.4097026683131594
49,4,37137.29231274994,0.35767978543586987
50,5,43417.34813200581,0.432018915178231
51,6,29485.6408112916,0.3165091682509948
52,3,27835.506456223535,0.263336476807302
53,5,46047.08878870998,0.45703591295563134
54,6,54607.294639063795,0.520354961254361
55,4,18535.71832708988,0.21813774025208443
56,5,23987.856111862155,0.29459026577751457
57,8,47325.05132784228,0.40761958763353595
58,6,45626.942230358465,0.4890437901240548
59,5,34844.11816240255,0.3988384931158199
60,4,37127.615824312365,0.4403268775457415
61,5,37632.53427260395,0.4228550924795134
62,5,37170.328809715575,0.42145247760401855
63,5,46406.20210788591,0.3751916297459369
64,6,50799.22379863073,0.4394915881775869
65,7,55736.685476423016,0.4877061361845149
66,8,65675.52324344152,0.5800313250694143
67,2,18566.564636028736,0.21336690084732324
68,7,40404.07963306581,0.45873843081878507
69,4,27852.815202972874,0.288838516239833
70,4,36655.88889348673,0.4331638516744377
71,6,54427.1681079616,0.5084893049610487
72,8,41120.04437046632,0.39358423607932697
73,3,27325.052538289707,0.34059397659744106
74,6,28163.715942785824,0.29176663042800427
75,5,45373.64654095111,0.4371448743662128
76,3,27856.07898595811,0.2969700013979991
77,3,27855.497488265057,0.32880302538047707
78,4,18840.384573580497,0.2549732976442297
79,3,27526.431662430354,0.3194199595229114
80,4,28119.790940631192,0.2747809696991727
81,8,65254.56838746556,0.523804386953571
82,6,48690.0534747492,0.44783527905987264
83,5,46373.713007934115,0.4491166335215848
84,6,54614.03996711922,0.5391481600261402
85,6,41703.152175718846,0.4337382146165064
86,5,46275.2057789056,0.43816530240183915
87,7,55660.37047348884,0.5470317109454114
88,6,29171.98516173035,0.3649402527111062
89,5,44352.12220348401,0.5070136090326045
90,6,45322.20831369489,0.4236833444129396
91,6,44411.6861110627,0.5472682770205142
92,5,44918.18213825527,0.5165330928556756
93,5,40476.73364619633,0.4081111253822621
94,8,55547.99228814648,0.5283240440726396
95,3,27788.056479897743,0.3378033630570412
96,9,72329.89594325479,0.5799669054745924
97,4,36918.508918107254,0.4101303278081964
98,3,27855.716679257443,0.2892937841326509
99,4,35060.816271499025,0.4052073715450739
