,number_colonies,concentrations,density
0,2,18569.46911636483,0.24944458065332692
1,6,32423.443737520145,0.3643631830633727
2,5,24769.77291296212,0.328297412762294
3,3,19400.455838481717,0.25739742323761683
4,6,50824.574448554216,0.5277935297623405
5,4,27859.18642547875,0.30753752165447745
6,4,30664.581130573442,0.36948697688682264
7,4,36111.00762231128,0.3840154902131566
8,4,31195.493493395807,0.3545465029583074
9,5,45873.822215293854,0.561045950195435
10,8,73526.91172457552,0.6106051895766315
11,5,36123.00289744041,0.3866907980922364
12,5,36932.27673703345,0.46781239088943155
13,6,51823.89579753426,0.5750017246030992
14,5,38644.44855742786,0.41790994122993963
15,6,46533.05203544559,0.44615387350090424
16,5,37607.876006690756,0.3692152236380776
17,9,72214.98542664843,0.5310345391253617
18,3,27856.065931799065,0.25405301771820066
19,3,27856.004907936134,0.3012585058532945
20,3,23842.83432167747,0.3084004194204129
21,4,37131.356093910974,0.41829429343434005
22,5,25701.77528495922,0.2909048153443347
23,2,9299.720260414417,0.12585098658762497
24,7,62198.126157480525,0.5477717242741653
25,4,34262.097886248615,0.4479440886275972
26,3,27825.431211345258,0.36174850539118425
27,6,46451.09997924939,0.49636921833524605
28,2,18570.714495905835,0.248042507118965
29,3,19468.44926066564,0.24980132445994643
30,3,20901.97716053475,0.28287618500143064
31,5,46090.89131905517,0.4140436828583517
32,6,42766.54681775381,0.49049674972491475
33,5,37161.03721711071,0.44805885294778436
34,3,27856.070759865303,0.31796375187525366
35,4,37141.40650835137,0.45596947092370355
36,6,39639.72684968687,0.46803542343621035
37,4,27988.99992111833,0.23826426223433983
38,7,41844.05734164937,0.43330568305127276
39,5,26052.15628243935,0.27580356309933085
40,4,18985.9177161328,0.25015752692543297
41,5,45395.94577484779,0.4689405458105166
42,5,46424.59096051945,0.45049272268156476
43,4,29358.53008896723,0.3349299243232987
44,8,73727.01741292723,0.6374719500053502
45,7,55793.80742253226,0.5212113629267009
46,1,9285.359661986036,0.12565772780315887
47,8,54603.91923867753,0.556441302518492
48,4,27867.64676525289,0.35361593755075216
49,4,28753.63153617633,0.34390048823755015
50,5,36982.677917396526,0.38372857941268873
51,4,36655.23155670587,0.4379785397109685
52,4,25812.413408320215,0.3331462052902012
53,5,46096.32183133073,0.42555259534504447
54,5,46424.33950931242,0.4227652298514423
55,5,46394.82472285518,0.5640974901619208
56,6,33735.2956745407,0.40360987386171404
57,8,54960.10621111325,0.47554436629147445
58,5,31199.438022515285,0.2694812400075113
59,8,64906.44266948693,0.52995456356511
60,6,45312.57486789908,0.4505593076409186
61,6,41306.41837562338,0.45240311553977447
62,2,18570.719323972073,0.20894847452011786
63,6,46824.546923532085,0.46264420709307896
64,5,41161.48806320179,0.4332558796670406
65,7,55595.00859880728,0.5631138733233356
66,6,25013.333849091658,0.26545636868396655
67,4,34191.92508907819,0.410732299148046
68,3,13522.626417056146,0.1830139035223532
69,4,36811.54395028848,0.41431706013049563
70,5,38761.04874805962,0.4262081594570569
71,8,64436.33700953554,0.5678939155273571
72,8,61305.203236084344,0.5777219637962144
73,8,51574.66907916185,0.48865456584945777
74,4,27763.0677004617,0.3757340535611611
75,5,46270.27121624179,0.4913157988590806
76,5,45615.39437547861,0.45357674311602797
77,7,54668.05054119032,0.5153518865035607
78,4,31195.4353374828,0.35500068816885944
79,7,50793.14879126025,0.4763590846965767
80,5,46425.51238896338,0.47784614878881304
81,7,63911.172044568826,0.5184716354527992
82,6,41190.49145130854,0.4609752523801686
83,2,18420.390295904046,0.2465743899663822
84,5,43578.41313442657,0.38469379065275333
85,6,29175.532600466064,0.39484123019005607
86,7,55941.02744661553,0.5306263679111111
87,4,37062.94161919151,0.487497178507193
88,4,37141.30898998242,0.40311454672505725
89,1,9285.359661986036,0.1256793814484772
90,5,35623.57742051387,0.36755384770102867
91,5,46338.22920117538,0.5468536097126682
92,6,52763.3246686001,0.5378440692368437
93,5,33831.211902692594,0.3976659482218323
94,7,54440.63375808048,0.4650266494192283
95,4,37141.13407768736,0.4194543874822696
96,6,48223.25148671691,0.4953076483735149
97,7,53668.2207643402,0.43561883371240345
98,7,62685.12525189422,0.6068591089365603
99,8,64278.846753965874,0.4669787255446758
