,number_colonies,concentrations,density
0,5,45927.14636474958,0.49518638795973224
1,6,42444.54886900649,0.4075178155005398
2,4,27870.362956064655,0.2544341218758033
3,5,35197.159146521895,0.3982300256823748
4,7,60176.93342313501,0.6096578425939544
5,6,47814.80182627576,0.3956489111604298
6,5,46419.32917891894,0.5503111555288726
7,3,27824.182027204948,0.3717367906353972
8,4,31193.73672906003,0.38916093768192495
9,7,52218.314698689894,0.4616881986522747
10,6,45944.950646139005,0.5252324448623149
11,6,55281.33176082754,0.5798532238366711
12,3,18247.703489944164,0.24695332875945297
13,5,28880.52117404088,0.3383078929929583
14,7,63949.05110039803,0.46407009963729107
15,6,54642.09170738374,0.5229165874955195
16,5,34518.291339031035,0.3876500545798384
17,4,36656.06893787037,0.37557327524467243
18,4,36807.477449873055,0.45998080871892427
19,6,54891.50403652974,0.45081698602020676
20,5,40421.50084745199,0.4740665049984984
21,6,44616.06443233638,0.4929013870375154
22,5,45716.53910990658,0.43922200029337366
23,9,61187.31017240957,0.6194003589638044
24,5,37103.33749390614,0.47580529271756034
25,7,46947.3627008288,0.43719576043271086
26,5,45924.53246348725,0.4893057992324066
27,6,41587.545250789604,0.4495313008294309
28,8,68326.66386713019,0.5132693471650702
29,4,33351.012178954225,0.4250215396936124
30,4,27870.27114822675,0.31364547365764556
31,4,27886.831867611807,0.2984678923128946
32,2,18570.719323972073,0.2190618095660442
33,4,37141.38484984185,0.4110928323425962
34,7,64658.387044817624,0.4799709127356742
35,4,36730.00976849333,0.3724329553323815
36,4,37095.7603889074,0.4427748221489788
37,5,37540.801062122635,0.46617158591543506
38,3,26826.051200349386,0.36197641000815967
39,4,37141.38865444115,0.37098649182511706
40,4,36915.72432506647,0.4428170467573495
41,3,27856.07898595811,0.34360870536688565
42,6,49757.03173584226,0.5466316598481552
43,3,19447.89825237318,0.2524593094227715
44,5,37316.74890655523,0.4666582515939645
45,2,18570.71830050514,0.24655706705012753
46,6,50633.205119241306,0.49052219275816383
47,6,46419.585454356136,0.4416758996490735
48,5,30599.705275233384,0.3498725636163458
49,4,20904.44573599845,0.28290271071694556
50,6,49764.26197318088,0.4558352183227299
51,5,44349.50710194985,0.41919670910298146
52,5,46275.89786556007,0.4541310764361773
53,4,37130.31415861059,0.4235783242331457
54,7,64490.18964490236,0.48991751471264944
55,9,62992.76100136055,0.5578861420023576
56,2,18241.080226537124,0.24369228977451238
57,5,37631.87442585077,0.3482766899563848
58,8,73572.44344375744,0.564484549071986
59,8,62177.077291806345,0.5057858473430551
60,9,80000.66493460257,0.6279898187204532
61,6,52504.39303414959,0.5063093242186257
62,7,55684.993403155386,0.4770990980253306
63,5,37125.69248597921,0.4304436124813224
64,5,37101.97284985597,0.49244341243903267
65,9,74400.82322737334,0.6091803797146853
66,8,66425.53119226763,0.4223251195103473
67,5,46423.90115887629,0.42126138418408426
68,6,40046.509260067956,0.4728035561353068
69,6,53569.59707018505,0.49520208685258804
70,6,47264.831579668564,0.5402665708068319
71,5,42094.422004267275,0.40236154120911233
72,2,9350.097527277527,0.12653794848534902
73,6,37037.095053015444,0.47998390492286525
74,6,41567.263152654115,0.4792590491458341
75,2,18241.080226537124,0.24687212758950924
76,4,37141.36099615538,0.4090768779634596
77,8,70789.06208828333,0.5202472343689023
78,7,55207.25208529648,0.4611349480143913
79,7,55988.5082413965,0.5247430724781207
80,4,37042.769390737856,0.321215046719801
81,8,74172.4690233013,0.5388190246173016
82,7,52809.919092050994,0.4648111956483109
83,6,52857.60888392518,0.4954911630175877
84,2,13717.489020267642,0.18564536276966334
85,5,46422.6387939206,0.5338592571571379
86,3,19071.507855442404,0.19456449927628375
87,5,37149.552210716094,0.4629489821509345
88,10,82567.95499311076,0.522416929629799
89,6,55692.00180956404,0.44608512317701854
90,5,46426.366829733575,0.4865135616686078
91,8,74279.53584356673,0.6353087508380489
92,5,46413.377591334545,0.4987099773941576
93,7,55004.88808605678,0.5994232471342454
94,6,44261.54111861357,0.4627448965438092
95,8,73727.59587607099,0.5779726047407742
96,4,37141.327113397965,0.37525442531736003
97,4,36988.682958851125,0.44296808093344486
98,6,37338.49858349983,0.41831594707965836
99,5,46406.038755614136,0.48942543562279034
