,number_colonies,concentrations,density
0,7,62414.97348139334,0.5129916391638626
1,3,27846.833813089444,0.28548165987435875
2,9,50001.048215252216,0.5628004368073528
3,6,54234.135554010805,0.5946995044080516
4,10,82407.21777452237,0.648046507696557
5,9,73158.38642821983,0.6485098957063693
6,4,36430.833404025274,0.37343930849855095
7,11,77140.21345644948,0.5965194932970573
8,9,69660.78977392922,0.5841807048535396
9,8,63074.51529949796,0.5424064923054159
10,8,47334.26561541763,0.3208539721841179
11,7,51154.36077835296,0.4167390203593509
12,5,32302.56791920117,0.3131663867549775
13,6,55008.32434889522,0.5069600162604416
14,9,38932.248842796245,0.39457651437603947
15,7,47577.103775964955,0.3830237532575771
16,6,55351.86957303549,0.48474500018723315
17,10,74043.72114712428,0.5081509667529498
18,9,69281.23215325501,0.5408788276282077
19,5,36441.40803059859,0.41462291787061706
20,7,52181.03710078936,0.49490110118266323
21,4,37132.453438983124,0.4217269375584284
22,3,18825.3535184693,0.21821785873976227
23,4,35947.31455831189,0.41580628958726384
24,7,60113.307502782634,0.5229918339130006
25,6,40558.87651529064,0.4747291065452393
26,4,27854.898477975552,0.23614437035767527
27,4,31191.202118144025,0.3502644945966075
28,6,46280.736583086094,0.4542626223314861
29,8,70126.9207911353,0.5531656473229615
30,6,54202.44026416591,0.5013934053902317
31,8,51409.03450578723,0.56662447057057
32,9,69292.90662421676,0.52882370193836
33,9,58637.24555975185,0.5049370244465765
34,9,82023.42154312076,0.6003153773213606
35,9,83385.87602842346,0.5807718797393013
36,4,27758.025902523634,0.35250997761611846
37,6,40264.994606499255,0.3946290244659364
38,5,39463.07618386644,0.4549203518080304
39,7,64283.11215609636,0.5032610322989377
40,5,33610.30956796109,0.3041757932188066
41,4,27723.435093147677,0.3737787293889158
42,8,61154.72285962735,0.5359412551544954
43,5,46422.537404372095,0.5270767941023038
44,7,51935.999019570954,0.5400776427514294
45,9,82005.25124765359,0.48071742215802366
46,5,39499.01886550551,0.474071918409828
47,6,46332.03997665441,0.48763143110816665
48,7,63514.54188003736,0.5486281259465053
49,7,55852.15640555276,0.5910481584662481
50,6,55610.94745017898,0.5365854511027157
51,8,58141.445991747685,0.5045326426202568
52,12,71689.52566565892,0.5177478623580339
53,5,37147.67372942042,0.3314696718014295
54,8,54431.85962372132,0.530679419342141
55,6,47440.17843289908,0.5302371436365141
56,8,47692.37228107813,0.42960724043090187
57,8,69631.86497336638,0.5672286072749514
58,9,82403.32701111831,0.5203728255117486
59,7,51446.26031219083,0.5160940651968464
60,7,51924.73024182818,0.5209190387149034
61,8,57902.939216521896,0.5264358462008811
62,5,41088.20549877786,0.4042567765155992
63,7,61684.95867956827,0.5597597236635262
64,4,36780.59215945386,0.43463142748588757
65,7,50499.560110289305,0.4719428237339031
66,9,55326.268121139496,0.510405652571721
67,7,62700.16001947382,0.48854250823493545
68,12,78165.04024100007,0.5647541369561991
69,6,46466.4768820683,0.4932137408712323
70,9,69280.75325877694,0.5552265330161337
71,6,37433.576767358114,0.39952707903694284
72,6,29924.57187457601,0.3196613976682108
73,8,64954.75022185377,0.5147131039666699
74,8,56197.46836539064,0.5404939340826744
75,8,63525.968945137465,0.5238655585015953
76,9,58572.6569190083,0.5219091516470842
77,3,27754.737754960875,0.37562957472250014
78,5,41572.79098358747,0.3261434163942531
79,6,41618.707945084876,0.41000148861855235
80,4,27402.68239554888,0.3039538433542937
81,8,63530.920748156845,0.5593910703519815
82,11,91346.05247980115,0.6502183683219855
83,5,37582.66357090865,0.4080910957603426
84,2,18241.080226537124,0.23492960085531692
85,9,65314.876391876045,0.5542071876627732
86,3,21580.60881882086,0.29205191720507323
87,5,34295.21321285824,0.3799467702578423
88,7,51119.73470272339,0.4858406746403407
89,3,26826.072058133024,0.35085563911379797
90,8,73035.90670182474,0.5377168540705984
91,7,61204.11013813437,0.4647294531372342
92,6,55707.410504470696,0.4883118969122952
93,6,55473.25983509339,0.5735032923470706
94,3,27810.365052234614,0.32251697214456565
95,5,25016.964319331433,0.31387770900368467
96,5,30517.053894604713,0.2988376283067051
97,9,51310.501348532576,0.4936511445066626
98,6,34293.543369149476,0.3791320518527401
99,7,46417.096439420486,0.4411405132685778
